City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,1.94,98,100,5.46,RU,1699847261
1,bubaque,11.2833,-15.8333,82.63,65,10,7.65,GW,1699847547
2,san antonio huista,15.65,-91.7667,70.52,86,30,4.43,GT,1699847548
3,khandyga,62.6667,135.6,-4.07,93,100,1.54,RU,1699847289
4,labytnangi,66.6572,66.4183,9.05,89,23,8.1,RU,1699847548
5,woodlake,37.4211,-77.6793,39.94,86,0,0.0,US,1699847549
6,kingaroy,-26.5333,151.8333,94.42,26,0,2.33,AU,1699847549
7,adamstown,-25.066,-130.1015,73.02,86,99,19.71,PN,1699847431
8,as sulayyil,20.4607,45.5779,64.65,47,9,7.14,SA,1699847550
9,waitangi,-43.9535,-176.5597,55.31,85,100,18.75,NZ,1699847550
10,port-aux-francais,-49.35,70.2167,39.99,79,100,6.49,TF,1699847550
11,paciran,-6.8767,112.3761,89.01,59,45,7.58,ID,1699847551
12,iskateley,67.6803,53.1512,11.01,94,44,5.01,RU,1699847551
13,tangalle,6.024,80.7911,82.56,90,100,4.18,LK,1699847314
14,luganville,-15.5333,167.1667,78.6,75,100,14.94,VU,1699847552
15,grytviken,-54.2811,-36.5092,36.3,91,100,4.12,GS,1699847552
16,avarua,-21.2078,-159.775,71.65,68,99,9.22,CK,1699847274
17,hermanus,-34.4187,19.2345,57.25,87,14,9.95,ZA,1699847552
18,college,64.8569,-147.8028,11.44,82,20,0.0,US,1699847553
19,edinburgh of the seven seas,-37.0676,-12.3116,57.83,81,54,24.52,SH,1699847553
20,margaret river,-33.95,115.0667,76.35,49,55,6.78,AU,1699847553
21,fale old settlement,-9.3852,-171.2468,84.94,68,57,3.36,TK,1699847553
22,galesong,-5.3166,119.3661,91.42,59,60,9.62,ID,1699847554
23,isafjordur,66.0755,-23.124,34.3,84,100,5.37,IS,1699847554
24,menongue,-14.6585,17.691,62.1,86,62,3.91,AO,1699847554
25,nsanje,-16.92,35.262,76.89,55,0,5.57,MW,1699847555
26,ust-tsilma,65.441,52.1498,22.6,95,97,3.0,RU,1699847555
27,puerto natales,-51.7236,-72.4875,40.89,86,100,4.94,CL,1699847555
28,sosnovo-ozerskoye,52.5249,111.5418,19.06,64,79,10.89,RU,1699847555
29,thompson,55.7435,-97.8558,28.56,100,100,2.3,CA,1699847556
30,boa vista,2.8197,-60.6733,85.98,58,0,11.5,BR,1699847330
31,taltal,-25.4,-70.4833,62.1,74,1,4.12,CL,1699847556
32,bredasdorp,-34.5322,20.0403,56.23,86,53,1.68,ZA,1699847557
33,remire-montjoly,4.9167,-52.2667,80.46,83,1,10.74,GF,1699847557
34,ilulissat,69.2167,-51.1,8.62,66,20,3.44,GL,1699847331
35,saint-philippe,-21.3585,55.7679,75.11,79,67,4.61,RE,1699847558
36,kodiak,57.79,-152.4072,29.71,80,40,3.44,US,1699847499
37,bandarbeyla,9.4942,50.8122,80.83,81,98,17.31,SO,1699847558
38,enewetak,11.3474,162.3373,81.73,81,100,15.5,MH,1699847558
39,blackmans bay,-43.0167,147.3167,69.93,36,2,5.26,AU,1699847559
40,invercargill,-46.4,168.35,53.02,89,100,8.01,NZ,1699847559
41,kenai,60.5544,-151.2583,23.14,94,0,3.44,US,1699847352
42,palmer,42.1584,-72.3287,31.51,74,0,3.44,US,1699847299
43,dudinka,69.4058,86.1778,27.68,96,100,11.99,RU,1699847280
44,visby,57.6409,18.296,39.42,93,100,16.11,SE,1699847560
45,coari,-4.085,-63.1414,77.31,83,28,2.39,BR,1699847560
46,nagqu,31.5,92.0,22.37,25,4,6.13,CN,1699847561
47,west island,-12.1568,96.8225,82.38,78,75,10.36,CC,1699847561
48,zeya,53.75,127.2667,25.48,42,22,8.05,RU,1699847561
49,papatowai,-46.5619,169.4708,51.42,96,100,5.5,NZ,1699847561
50,iqaluit,63.7506,-68.5145,-2.31,77,20,5.75,CA,1699847562
51,bataipora,-22.2953,-53.2711,83.16,38,40,5.7,BR,1699847562
52,kutum,14.2,24.6667,71.94,35,69,8.1,SD,1699847562
53,tolanaro,-25.0319,46.9987,68.07,88,0,0.0,MG,1699847563
54,raduzhny,62.0961,77.475,26.42,94,100,10.89,RU,1699847563
55,badger,64.8,-147.5333,11.35,85,20,0.0,US,1699847563
56,mariental,-24.6333,17.9667,70.39,27,3,8.7,NA,1699847564
57,qaqortoq,60.7167,-46.0333,16.0,91,26,2.35,GL,1699847514
58,andergrove,-21.0833,149.1833,86.65,53,0,11.97,AU,1699847488
59,happy valley-goose bay,53.3168,-60.3315,26.91,68,75,12.66,CA,1699847564
60,colonia,50.9333,6.95,47.43,89,100,5.75,DE,1699847468
61,ola,59.5833,151.2833,13.32,60,100,11.16,RU,1699847565
62,port elizabeth,-33.918,25.5701,59.29,79,0,11.5,ZA,1699847565
63,sechura,-5.5569,-80.8222,69.66,77,0,13.35,PE,1699847375
64,zakynthos,37.7914,20.8953,62.02,85,100,3.44,GR,1699847286
65,kapuskasing,49.4169,-82.4331,33.89,100,100,18.41,CA,1699847364
66,klyuchi,52.2667,79.1667,40.46,81,97,11.05,RU,1699847566
67,safotu,-13.4513,-172.4018,83.05,76,25,3.29,WS,1699847566
68,bethel,41.3712,-73.414,33.94,77,0,0.0,US,1699847567
69,pestravka,52.405,49.9583,44.02,75,100,21.32,RU,1699847567
70,nuuk,64.1835,-51.7216,21.81,79,11,12.66,GL,1699847395
71,luderitz,-26.6481,15.1594,63.3,58,0,16.62,NA,1699847568
72,afaahiti,-17.75,-149.2833,75.07,80,56,5.73,PF,1699847568
73,hawaiian paradise park,19.5933,-154.9731,74.71,92,100,3.0,US,1699847568
74,kone,-21.0595,164.8658,78.96,49,53,10.27,NC,1699847303
75,mamuju,-2.6748,118.8885,85.01,75,41,4.59,ID,1699847569
76,trincomalee,8.5711,81.2335,78.3,93,100,17.2,LK,1699847569
77,outjo,-20.1167,16.15,72.57,40,38,7.23,NA,1699847569
78,wailua homesteads,22.0669,-159.378,81.03,81,75,17.27,US,1699847570
79,jamestown,42.097,-79.2353,37.04,76,0,1.99,US,1699847491
80,port alfred,-33.5906,26.891,58.17,86,83,1.99,ZA,1699847570
81,vadso,70.0744,29.7487,23.16,80,20,3.44,NO,1699847571
82,crane,31.3974,-102.3501,57.2,80,100,8.86,US,1699847277
83,tralee,52.2704,-9.7026,48.97,88,86,33.46,IE,1699847571
84,san-pedro,4.7485,-6.6363,77.63,91,26,6.71,CI,1699847572
85,aksu,41.1231,80.2644,44.29,38,7,4.68,CN,1699847572
86,ghanzi,-21.5667,21.7833,77.14,21,88,8.28,BW,1699847572
87,san patricio,28.017,-97.5169,63.84,97,100,12.53,US,1699847573
88,demopolis,32.5176,-87.8364,58.95,94,100,0.0,US,1699847573
89,le vauclin,14.5452,-60.8388,80.65,78,20,13.8,MQ,1699847573
90,isangel,-19.55,169.2667,78.91,73,75,10.36,VU,1699847573
91,mount isa,-20.7333,139.5,100.17,20,6,13.8,AU,1699847574
92,forster,-32.1667,152.5167,72.28,68,74,12.68,AU,1699847574
93,sangueya,10.7,-14.3667,75.51,94,20,2.08,GN,1699847574
94,yellowknife,62.456,-114.3525,18.41,95,75,19.57,CA,1699847575
95,saipan,15.1355,145.701,88.5,74,20,19.57,MP,1699847575
96,norilsk,69.3535,88.2027,24.42,95,100,8.41,RU,1699847575
97,olonkinbyen,70.9221,-8.7187,26.24,67,100,5.75,SJ,1699847575
98,gizo,-8.103,156.8419,82.22,74,60,12.21,SB,1699847576
99,ancud,-41.8697,-73.8203,47.8,84,92,11.21,CL,1699847291
100,kasongo-lunda,-6.4667,16.8167,69.04,99,100,1.63,CD,1699847576
101,ribeira grande,38.5167,-28.7,62.78,86,100,5.99,PT,1699847576
102,bozoum,6.3193,16.3799,68.31,98,100,2.68,CF,1699847379
103,angel r. cabada,18.5833,-95.4333,75.27,87,99,16.15,MX,1699847577
104,stanley,54.868,-1.6985,44.53,95,100,5.75,GB,1699847577
105,sur,22.5667,59.5289,79.83,45,86,9.24,OM,1699847578
106,alto barinas,8.5931,-70.2261,76.41,82,90,4.18,VE,1699847578
107,mthatha,-31.5889,28.7844,55.96,71,75,3.44,ZA,1699847578
108,talnakh,69.4865,88.3972,24.21,97,100,6.42,RU,1699847579
109,petropavlovsk-kamchatsky,53.0452,158.6483,30.79,74,40,28.01,RU,1699847579
110,tommot,58.9564,126.2925,12.36,89,100,8.95,RU,1699847579
111,anadyr,64.75,177.4833,28.9,86,75,13.42,RU,1699847580
112,umba,66.6871,34.3429,21.79,93,66,9.71,RU,1699847580
113,cabo san lucas,22.8909,-109.9124,80.76,68,63,5.12,MX,1699847538
114,victorica,-36.2151,-65.4359,50.92,32,1,3.78,AR,1699847580
115,toliara,-23.35,43.6667,75.99,70,0,2.37,MG,1699847581
116,siem reap,13.5,104.0,89.51,56,28,4.88,KH,1699847581
117,quellon,-43.1167,-73.6167,45.95,85,100,11.59,CL,1699847581
118,geraldton,-28.7667,114.6,81.01,47,0,12.66,AU,1699847582
119,alesund,62.4723,6.1549,37.33,74,3,10.36,NO,1699847582
120,novomoskovs'k,48.6167,35.2,47.01,72,94,13.02,UA,1699847582
121,albany,42.6001,-73.9662,28.72,81,0,3.22,US,1699847554
122,el calafate,-50.3408,-72.2768,44.35,72,100,4.43,AR,1699847583
123,atafu village,-8.5421,-172.5159,85.06,68,44,4.74,TK,1699847583
124,aoulef,26.9667,1.0833,69.85,30,15,10.94,DZ,1699847584
125,hadibu,12.65,54.0333,80.58,82,55,13.02,YE,1699847584
126,chonchi,-42.6128,-73.8092,45.12,89,98,4.07,CL,1699847584
127,flying fish cove,-10.4217,105.6791,82.08,69,40,13.8,CX,1699847584
128,al jawf,29.5,38.75,70.41,43,99,1.36,SA,1699847585
129,lompoc,34.6391,-120.4579,60.58,82,0,5.75,US,1699847355
130,nova sintra,14.8667,-24.7167,73.83,67,53,6.78,CV,1699847585
131,utrik,11.2278,169.8474,82.18,83,99,20.47,MH,1699847586
132,inarajan village,13.2736,144.7484,90.57,83,24,18.03,GU,1699847586
133,kristiansund,63.1115,7.732,32.65,80,61,4.61,NO,1699847586
134,christchurch,-43.5333,172.6333,77.2,31,61,19.57,NZ,1699847301
135,bethanie,-26.4833,17.15,64.49,18,0,0.09,NA,1699847587
136,arraial do cabo,-22.9661,-42.0278,75.18,88,93,5.41,BR,1699847587
137,phayakkhaphum phisai,15.5163,103.1937,84.72,61,93,12.86,TH,1699847587
138,puerto ayora,-0.7393,-90.3518,76.55,92,77,8.01,EC,1699847588
139,manismata,-2.4667,111.0333,83.07,73,98,3.13,ID,1699847588
140,eastham,41.8301,-69.9739,40.95,67,100,0.0,US,1699847588
141,aykhal,66.0,111.5,9.18,94,99,9.31,RU,1699847523
142,jayapura,-2.5333,140.7,96.19,78,54,5.7,ID,1699847376
143,san antonio de pale,-1.4014,5.6325,79.18,83,47,9.62,GQ,1699847589
144,muntok,-2.0667,105.1833,87.93,62,27,2.84,ID,1699847589
145,bamboo flat,11.7,92.7167,80.69,83,75,4.61,IN,1699847590
146,kavaratti,10.5669,72.642,82.78,71,72,4.94,IN,1699847590
147,nemuro,43.3236,145.575,41.14,43,26,6.96,JP,1699847590
148,sisimiut,66.9395,-53.6735,13.41,85,53,7.16,GL,1699847591
149,lihue,21.9789,-159.3672,81.64,75,75,17.27,US,1699847591
150,egilsstadir,65.2653,-14.3948,31.91,93,20,8.05,IS,1699847591
151,lebu,-37.6167,-73.65,46.31,74,0,13.98,CL,1699847592
152,ushuaia,-54.8,-68.3,49.66,53,0,9.22,AR,1699847592
153,kruisfontein,-34.0033,24.7314,54.36,68,13,5.88,ZA,1699847592
154,hithadhoo,-0.6,73.0833,81.25,79,97,9.53,MV,1699847592
155,cannonvale,-20.2833,148.7,81.79,53,0,14.65,AU,1699847593
156,tiksi,71.6872,128.8694,1.22,90,78,13.33,RU,1699847324
157,mirny,62.5353,113.9611,10.24,85,100,1.99,RU,1699847594
158,st. john's,47.5649,-52.7093,29.79,81,100,11.5,CA,1699847328
159,polovinnoye,54.7914,65.9864,35.08,94,65,6.35,RU,1699847594
160,kingscliff,-28.2667,153.5667,80.76,73,100,14.97,AU,1699847594
161,inyonga,-6.7167,32.0667,68.07,85,100,3.83,TZ,1699847595
162,al kharijah,25.4514,30.5464,73.27,56,64,8.21,EG,1699847595
163,mount gambier,-37.8333,140.7667,64.72,44,33,10.51,AU,1699847595
164,laguna,38.421,-121.4238,60.78,63,0,4.61,US,1699847596
165,tura,25.5198,90.2201,78.64,56,0,1.34,IN,1699847596
166,new norfolk,-42.7826,147.0587,71.1,32,15,10.67,AU,1699847597
167,codrington,-38.2667,141.9667,61.74,53,5,15.57,AU,1699847597
168,angaur state,6.906,134.13,84.43,74,90,12.8,PW,1699847597
169,nyagan,62.1406,65.3936,16.5,98,49,2.19,RU,1699847597
170,isla mujeres,21.2311,-86.731,78.17,76,20,13.6,MX,1699847598
171,longyearbyen,78.2186,15.6401,21.04,73,75,19.57,SJ,1699847598
172,kiruna,67.8557,20.2251,-6.68,84,100,0.0,SE,1699847598
173,port mathurin,-19.6833,63.4167,77.31,78,0,4.5,MU,1699847599
174,salinopolis,-0.6136,-47.3561,79.57,80,13,9.53,BR,1699847599
175,susuman,62.7833,148.1667,-18.69,97,92,0.92,RU,1699847599
176,alo,7.4178,6.7371,75.76,91,100,2.75,NG,1699847600
177,labrador city,52.9463,-66.9114,17.51,93,100,6.91,CA,1699847410
178,wynyard,-41.0,145.7167,66.56,34,0,14.07,AU,1699847600
179,keflavik,64.0049,-22.5624,39.11,70,0,18.41,IS,1699847601
180,hamilton,39.1834,-84.5333,46.78,72,0,1.01,US,1699847397
181,diapaga,12.0708,1.7889,75.31,21,72,6.46,BF,1699847601
182,brookings,44.3114,-96.7984,43.18,58,0,5.75,US,1699847602
183,gao,16.6362,1.637,74.14,14,0,12.5,ML,1699847602
184,gadzhiyevo,69.2551,33.3362,13.6,96,96,9.46,RU,1699847602
185,luba,3.4568,8.5547,76.59,95,100,5.17,GQ,1699847603
186,jaru,-10.4389,-62.4664,75.15,89,20,1.19,BR,1699847603
187,lata,40.1629,-8.3327,62.08,96,67,3.96,PT,1699847603
188,comrat,46.3003,28.6572,41.41,75,6,1.19,MD,1699847604
189,petukhovo,55.0692,67.9019,36.59,94,90,8.52,RU,1699847604
190,punta arenas,-53.15,-70.9167,48.31,61,75,16.11,CL,1699847604
191,dumai,1.6833,101.45,84.13,81,74,1.34,ID,1699847605
192,grand falls-windsor,48.9332,-55.6649,22.24,91,12,5.03,CA,1699847605
193,bocaiuva,-17.1078,-43.815,73.11,33,6,3.83,BR,1699847605
194,salalah,17.0151,54.0924,77.09,53,0,5.75,OM,1699847606
195,vorgashor,67.5833,63.95,13.03,97,95,6.04,RU,1699847606
196,tremp,42.167,0.8949,50.67,88,48,3.44,ES,1699847606
197,pangody,65.85,74.4859,17.06,87,13,20.18,RU,1699847607
198,lagunas,-5.2269,-75.6753,77.86,86,72,2.66,PE,1699847607
199,taza,34.25,-3.75,62.1,47,100,2.89,MA,1699847607
200,vorkuta,67.5,64.0,14.22,96,93,5.84,RU,1699847608
201,huarmey,-10.0681,-78.1522,67.6,83,66,10.0,PE,1699847609
202,sao vicente,-23.9631,-46.3919,93.38,26,29,10.58,BR,1699847609
203,chilaw,7.5758,79.7953,80.62,80,100,12.35,LK,1699847609
204,komsomolets,53.7453,62.0708,36.73,91,84,9.06,KZ,1699847610
205,ponnani,10.767,75.9252,81.72,66,99,8.95,IN,1699847610
206,kentville,45.0835,-64.4988,34.72,85,30,4.61,CA,1699847611
207,maloye ganyushkino,46.6,49.2667,47.93,74,98,9.28,KZ,1699847611
208,dame-marie,18.5667,-74.4167,80.17,77,56,1.21,HT,1699847611
209,medina,24.4686,39.6142,75.63,25,20,6.91,SA,1699847612
210,necochea,-38.5473,-58.7368,46.09,63,0,6.17,AR,1699847612
211,whitehorse,60.7161,-135.0538,25.57,80,100,8.05,CA,1699847613
212,nanuque,-17.8392,-40.3539,72.43,76,2,3.09,BR,1699847613
213,faya-largeau,17.9257,19.1043,75.2,22,7,18.84,TD,1699847613
214,calama,-22.4667,-68.9333,55.89,22,0,8.05,CL,1699847614
215,labuan,5.2767,115.2417,88.16,66,20,2.3,MY,1699847615
216,namsos,64.4662,11.4957,30.25,74,3,18.41,NO,1699847615
217,yashan,22.1975,109.9419,65.43,68,22,15.1,CN,1699847616
218,lupane,-18.9315,27.807,69.22,30,5,7.11,ZW,1699847616
219,carolina beach,34.0352,-77.8936,52.07,89,95,14.97,US,1699847457
220,suntar,62.1444,117.6319,16.03,88,100,5.44,RU,1699847617
221,aripuana,-9.1667,-60.6333,78.51,75,42,1.36,BR,1699847617
222,solhan,38.9634,41.0293,46.44,77,74,3.13,TR,1699847617
223,kokopo,-4.352,152.2633,82.76,69,100,11.59,PG,1699847618
224,male,4.1748,73.5089,84.15,84,75,4.61,MV,1699847618
225,acajutla,13.5928,-89.8275,80.15,75,69,6.02,SV,1699847619
226,ephrata,40.1798,-76.1788,34.83,86,2,1.77,US,1699847528
227,filey,54.21,-0.2892,46.08,93,100,8.99,GB,1699847619
228,arenapolis,-14.4503,-56.8461,84.15,52,56,5.23,BR,1699847620
229,portland,45.5234,-122.6762,56.28,88,100,17.27,US,1699847447
230,howrah,22.5892,88.3103,78.8,69,15,9.22,IN,1699847621
231,la gi,10.6667,107.7833,84.47,69,94,12.71,VN,1699847621
232,masvingo,-20.0637,30.8277,62.82,75,52,9.04,ZW,1699847621
233,san mariano,7.5,126.0,85.48,70,32,5.82,PH,1699847622
234,vobarno,45.6401,10.5035,47.8,69,48,5.08,IT,1699847622
235,parry sound,45.3501,-80.033,40.91,64,100,10.51,CA,1699847623
236,east london,-33.0153,27.9116,58.14,77,0,8.05,ZA,1699847386
237,amga,60.8953,131.9608,7.84,91,100,6.71,RU,1699847623
238,colchani,-20.3,-66.9333,51.51,34,59,7.54,BO,1699847624
239,desaguadero,-16.5656,-69.0417,44.74,77,100,13.8,PE,1699847624
240,paka,4.6374,103.4368,89.53,70,20,2.3,MY,1699847625
241,weno,7.4515,151.8468,83.5,70,45,10.38,FM,1699847625
242,ribeira brava,32.65,-17.0667,70.43,80,32,2.24,PT,1699847350
243,yulinshi,38.2906,109.7494,36.46,25,100,8.75,CN,1699847626
244,nyurba,63.2842,118.3319,8.19,90,100,3.98,RU,1699847626
245,mugia,43.1041,-9.2179,66.16,95,96,29.12,ES,1699847627
246,namdrik,5.5994,168.1028,83.14,81,96,10.33,MH,1699847627
247,tazovsky,67.4667,78.7,19.74,94,85,16.2,RU,1699847627
248,caleta de carquin,-11.0925,-77.6267,67.05,85,16,9.22,PE,1699847628
249,tucuma,-0.1833,-50.05,78.49,83,0,7.9,BR,1699847628
250,kayangel,8.0823,134.7173,84.52,75,100,16.33,PW,1699847629
251,belmonte,-15.8631,-38.8828,75.18,85,14,10.36,BR,1699847629
252,enriquillo,17.9,-71.2333,78.91,88,12,14.03,DO,1699847629
253,punta del este,-34.9667,-54.95,57.96,72,75,11.5,UY,1699847630
254,opuwo,-18.0607,13.84,72.82,36,64,3.78,NA,1699847630
255,udachny,66.4167,112.4,10.45,84,100,8.14,RU,1699847351
256,shache,38.4167,77.2406,48.06,22,21,1.23,CN,1699847631
257,alice springs,-23.7,133.8833,96.35,21,86,10.36,AU,1699847631
258,rio grande,-32.035,-52.0986,61.95,90,100,7.58,BR,1699847632
259,aasiaat,68.7098,-52.8699,5.99,87,18,4.34,GL,1699847632
260,carnarvon,-24.8667,113.6333,74.77,62,28,11.88,AU,1699847632
261,lokot',52.565,34.5776,40.84,85,100,17.45,RU,1699847633
262,georgetown,5.4112,100.3354,90.95,72,20,6.91,MY,1699847488
263,cooper's town,26.8667,-77.5167,77.4,71,18,7.99,BS,1699847633
264,hasaki,35.7333,140.8333,57.6,61,99,17.67,JP,1699847634
265,inhambane,-23.865,35.3833,75.18,94,75,3.44,MZ,1699847634
266,yung shue wan,22.2333,114.1167,75.61,66,57,1.99,HK,1699847635
267,akureyri,65.6835,-18.0878,33.73,69,75,2.3,IS,1699847635
268,urumqi,43.801,87.6005,36.55,75,40,6.71,CN,1699847635
269,sanming,26.2486,117.6186,59.5,83,100,4.61,CN,1699847636
270,yanykurgan,43.915,67.2481,42.89,57,4,5.35,KZ,1699847636
271,pengcheng,36.4311,114.17,47.21,43,100,8.81,CN,1699847637
272,pisco,-13.7,-76.2167,67.01,88,15,6.91,PE,1699847637
273,carrollton,32.9537,-96.8903,58.41,74,100,0.0,US,1699847602
274,villazon,-22.0866,-65.5942,56.53,63,75,11.59,BO,1699847638
275,mejit,10.2753,170.8646,82.53,82,82,19.15,MH,1699847638
276,asau,46.4333,26.4,34.72,88,32,5.99,RO,1699847639
277,pundong,-7.9522,110.3486,85.82,67,56,12.57,ID,1699847639
278,isla del bosque,22.7333,-105.85,73.67,85,82,6.62,MX,1699847639
279,ambalavao,-21.8333,46.9333,71.29,56,0,2.66,MG,1699847640
280,nar'yan-mar,67.6713,53.087,11.1,94,42,5.01,RU,1699847640
281,yeniseysk,58.4497,92.1703,30.94,98,100,5.01,RU,1699847363
282,queimadas,-10.9783,-39.6264,71.6,72,83,6.2,BR,1699847640
283,aureilhan,43.2434,0.0958,51.8,93,0,6.91,FR,1699847641
284,rongelap,11.1635,166.8941,82.35,84,100,19.86,MH,1699847641
285,sebdou,34.637,-1.3314,45.7,36,8,2.53,DZ,1699847641
286,tocopilla,-22.092,-70.1979,65.3,75,22,6.91,CL,1699847642
287,reitz,-27.8014,28.4273,53.56,83,20,10.89,ZA,1699847642
288,ust-nera,64.5667,143.2,-11.27,99,99,3.11,RU,1699847642
289,manay,7.215,126.5397,86.97,69,60,10.0,PH,1699847643
290,atamyrat,37.8357,65.2106,57.34,29,3,4.16,TM,1699847643
291,touros,-5.1989,-35.4608,79.59,72,43,12.97,BR,1699847643
